Fold,Training time,Testing time
1,628.4995365142822,0.2909390926361084
2,627.3478524684906,0.2928025722503662
3,628.7435672283173,0.30068302154541016
4,629.1446595191956,0.2909693717956543
5,628.930789232254,0.2926595211029053
